Fold 1,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,2,0.95,0.83,0.89,0.88,0.98,20,215,1,4
,3,0.84,0.91,0.87,0.86,0.98,21,213,4,2
,4,0.89,0.85,0.87,0.86,0.98,17,218,2,3
,5,0.91,0.81,0.86,0.84,0.97,21,212,2,5
,6,0.96,0.88,0.92,0.91,0.98,22,214,1,3
,7,0.5,0.92,0.65,0.66,0.95,11,217,11,1
,8,0.86,0.76,0.81,0.79,0.96,19,212,3,6
,9,0.81,0.81,0.81,0.79,0.96,22,208,5,5
Overall MCC,0.85
Overall Accuracy,0.86

Fold 10,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.96,1.0,0.98,0.98,1.0,26,213,1,0
,1,0.88,1.0,0.94,0.93,0.99,22,215,3,0
,2,0.82,0.88,0.85,0.84,0.98,14,221,3,2
,3,0.86,0.96,0.91,0.9,0.98,24,211,4,1
,4,0.88,0.94,0.91,0.9,0.98,30,204,4,2
,5,0.91,0.75,0.82,0.81,0.96,21,210,2,7
,6,0.96,0.89,0.92,0.91,0.98,24,212,1,3
,7,0.96,1.0,0.98,0.98,1.0,24,215,1,0
,8,0.82,0.82,0.82,0.81,0.98,14,220,3,3
,9,0.89,0.74,0.81,0.8,0.97,17,215,2,6
Overall MCC,0.89
Overall Accuracy,0.9

