Fold 1,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,4,0.96,1.0,0.98,0.98,1.0,23,216,1,0
,5,1.0,0.96,0.98,0.98,1.0,24,215,0,1
,6,0.92,1.0,0.96,0.96,0.99,24,214,2,0
,7,1.0,0.96,0.98,0.98,1.0,24,215,0,1
,8,1.0,0.85,0.92,0.91,0.98,29,206,0,5
,9,0.93,0.89,0.91,0.9,0.98,25,210,2,3
Overall MCC,0.95
Overall Accuracy,0.96

Fold 7,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.9,1.0,0.95,0.94,0.99,26,211,3,0
,1,0.88,0.96,0.92,0.91,0.98,23,213,3,1
,2,1.0,0.95,0.98,0.97,1.0,20,219,0,1
,3,0.96,0.96,0.96,0.95,0.99,23,215,1,1
,4,0.95,0.91,0.93,0.93,0.99,21,216,1,2
,5,0.95,0.86,0.9,0.89,0.98,18,218,1,3
,6,0.92,1.0,0.96,0.95,0.99,22,216,2,0
,7,0.96,1.0,0.98,0.98,1.0,23,216,1,0
,8,1.0,0.88,0.93,0.93,0.99,21,216,0,3
,9,0.94,0.91,0.92,0.91,0.98,29,206,2,3
Overall MCC,0.94
Overall Accuracy,0.94

Fold 8,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.92,1.0,0.96,0.95,0.99,23,215,2,0
,1,1.0,1.0,1.0,1.0,1.0,22,218,0,0
,2,0.95,0.88,0.91,0.9,0.98,21,215,1,3
,3,0.93,1.0,0.96,0.96,0.99,25,213,2,0
,4,0.97,1.0,0.98,0.98,1.0,31,208,1,0
,5,0.88,1.0,0.94,0.94,0.99,15,223,2,0
,6,0.89,0.96,0.92,0.91,0.98,24,212,3,1
,7,1.0,1.0,1.0,1.0,1.0,27,213,0,0
,8,0.96,0.89,0.92,0.91,0.98,24,212,1,3
,9,1.0,0.76,0.86,0.86,0.98,16,219,0,5
Overall MCC,0.94
Overall Accuracy,0.95

Fold 9,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.93,1.0,0.96,0.96,0.99,27,211,2,0
,1,0.93,0.9,0.92,0.91,0.98,28,207,2,3
,2,0.92,0.92,0.92,0.91,0.98,22,214,2,2
,3,0.85,0.96,0.9,0.89,0.98,22,213,4,1
,4,0.86,0.95,0.9,0.9,0.98,19,217,3,1
,5,1.0,0.85,0.92,0.91,0.98,22,214,0,4
,6,0.92,0.96,0.94,0.93,0.99,24,213,2,1
,7,1.0,1.0,1.0,1.0,1.0,12,228,0,0
,8,0.92,0.88,0.9,0.89,0.98,22,213,2,3
,9,0.96,0.89,0.92,0.91,0.98,24,212,1,3
Overall MCC,0.92
Overall Accuracy,0.92

Fold 10,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.9,1.0,0.95,0.94,0.99,26,211,3,0
,1,1.0,1.0,1.0,1.0,1.0,22,218,0,0
,2,0.94,1.0,0.97,0.97,1.0,16,223,1,0
,3,0.96,1.0,0.98,0.98,1.0,25,214,1,0
,4,1.0,0.97,0.98,0.98,1.0,31,208,0,1
,5,1.0,0.86,0.92,0.92,0.98,24,212,0,4
,6,0.89,0.93,0.91,0.9,0.98,25,210,3,2
,7,1.0,1.0,1.0,1.0,1.0,24,216,0,0
,8,0.88,0.88,0.88,0.87,0.98,15,221,2,2
,9,1.0,0.96,0.98,0.98,1.0,22,217,0,1
Overall MCC,0.95
Overall Accuracy,0.96

