Fold 1,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN,,Confusion Matrix
,6,0.92,0.96,0.94,0.93,0.99,22,215,2,1,,0,0,0,0,0,1,22,0,0,0
,7,0.9,1.0,0.95,0.94,0.99,26,211,3,0,,0,0,0,0,0,0,0,26,0,0
,8,0.87,0.91,0.89,0.88,0.98,20,215,3,2,,0,0,0,0,0,1,0,0,20,1
,9,0.9,0.83,0.86,0.85,0.98,19,215,2,4,,1,0,0,0,1,0,0,1,1,19
Overall MCC,0.93
Overall Accuracy,0.94

Fold 6,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN,,Confusion Matrix
,0,1.0,1.0,1.0,1.0,1.0,22,218,0,0,,22,0,0,0,0,0,0,0,0,0
,1,0.91,0.95,0.93,0.92,0.99,20,217,2,1,,0,20,0,1,0,0,0,0,0,0
,2,0.96,1.0,0.98,0.98,1.0,22,217,1,0,,0,0,22,0,0,0,0,0,0,0
,3,0.94,1.0,0.97,0.97,1.0,16,223,1,0,,0,0,0,16,0,0,0,0,0,0
,4,1.0,0.96,0.98,0.98,1.0,22,217,0,1,,0,0,0,0,22,0,0,0,1,0
,5,1.0,0.96,0.98,0.98,1.0,24,215,0,1,,0,0,0,0,0,24,1,0,0,0
,6,0.92,1.0,0.96,0.96,0.99,24,214,2,0,,0,0,0,0,0,0,24,0,0,0
,7,1.0,1.0,1.0,1.0,1.0,25,215,0,0,,0,0,0,0,0,0,0,25,0,0
,8,0.94,0.91,0.93,0.91,0.98,31,204,2,3,,0,0,1,0,0,0,1,0,31,1
,9,0.96,0.89,0.93,0.92,0.98,25,211,1,3,,0,2,0,0,0,0,0,0,1,25
Overall MCC,0.96
Overall Accuracy,0.96

Fold 7,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN,,Confusion Matrix
,0,0.96,1.0,0.98,0.98,1.0,26,213,1,0,,26,0,0,0,0,0,0,0,0,0
,1,0.96,0.96,0.96,0.95,0.99,23,215,1,1,,0,23,0,0,0,0,0,0,1,0
,2,1.0,0.95,0.98,0.97,1.0,20,219,0,1,,0,0,20,0,0,0,1,0,0,0
,3,1.0,0.88,0.93,0.93,0.99,21,216,0,3,,0,1,0,21,0,2,0,0,0,0
,4,0.96,1.0,0.98,0.98,1.0,23,216,1,0,,0,0,0,0,23,0,0,0,0,0
,5,0.86,0.9,0.88,0.87,0.98,19,216,3,2,,0,0,0,0,0,19,1,1,0,0
,6,0.92,1.0,0.96,0.95,0.99,22,216,2,0,,0,0,0,0,0,0,22,0,0,0
,7,0.96,0.96,0.96,0.95,0.99,22,216,1,1,,0,0,0,0,0,0,0,22,1,0
,8,0.92,0.92,0.92,0.91,0.98,22,214,2,2,,0,0,0,0,0,0,0,0,22,2
,9,0.94,0.91,0.92,0.91,0.98,29,206,2,3,,1,0,0,0,1,1,0,0,0,29
Overall MCC,0.94
Overall Accuracy,0.95

Fold 8,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN,,Confusion Matrix
,0,0.92,1.0,0.96,0.95,0.99,23,215,2,0,,23,0,0,0,0,0,0,0,0,0
,1,1.0,0.91,0.95,0.95,0.99,20,218,0,2,,0,20,0,0,0,1,0,0,1,0
,2,0.96,0.92,0.94,0.93,0.99,22,215,1,2,,1,0,22,1,0,0,0,0,0,0
,3,0.96,1.0,0.98,0.98,1.0,25,214,1,0,,0,0,0,25,0,0,0,0,0,0
,4,1.0,1.0,1.0,1.0,1.0,31,209,0,0,,0,0,0,0,31,0,0,0,0,0
,5,0.78,0.93,0.85,0.84,0.98,14,221,4,1,,0,0,0,0,0,14,1,0,0,0
,6,0.96,0.96,0.96,0.96,0.99,24,214,1,1,,1,0,0,0,0,0,24,0,0,0
,7,1.0,0.96,0.98,0.98,1.0,26,213,0,1,,0,0,0,0,0,0,0,26,1,0
,8,0.89,0.93,0.91,0.9,0.98,25,210,3,2,,0,0,0,0,0,2,0,0,25,0
,9,1.0,0.86,0.92,0.92,0.99,18,219,0,3,,0,0,1,0,0,1,0,0,1,18
Overall MCC,0.94
Overall Accuracy,0.95

Fold 9,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN,,Confusion Matrix
,0,0.96,1.0,0.98,0.98,1.0,27,212,1,0,,27,0,0,0,0,0,0,0,0,0
,1,0.93,0.87,0.9,0.89,0.98,27,207,2,4,,0,27,0,1,1,1,0,0,0,1
