Fold 1,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,2,1.0,0.33,0.5,0.56,0.93,8,216,0,16
,3,0.65,0.87,0.74,0.72,0.94,20,206,11,3
,4,0.95,0.9,0.92,0.92,0.99,18,219,1,2
,5,0.56,0.85,0.68,0.65,0.91,22,197,17,4
,6,0.95,0.84,0.89,0.88,0.98,21,214,1,4
,7,1.0,0.83,0.91,0.91,0.99,10,228,0,2
,8,0.69,0.88,0.77,0.75,0.95,22,205,10,3
,9,0.96,0.81,0.88,0.87,0.98,22,212,1,5
Overall MCC,0.78
Overall Accuracy,0.8

Fold 10,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN
,0,0.83,0.96,0.89,0.88,0.98,25,209,5,1
,1,1.0,0.82,0.9,0.9,0.98,18,218,0,4
,2,0.31,1.0,0.48,0.51,0.85,16,189,35,0
,3,0.87,0.8,0.83,0.82,0.97,20,212,3,5
,4,1.0,0.78,0.88,0.87,0.97,25,208,0,7
,5,1.0,0.25,0.4,0.48,0.91,7,212,0,21
,6,0.86,0.89,0.87,0.86,0.97,24,209,4,3
,7,1.0,0.67,0.8,0.8,0.97,16,216,0,8
,8,0.36,0.47,0.41,0.36,0.9,8,209,14,9
,9,1.0,0.87,0.93,0.93,0.99,20,217,0,3
Overall MCC,0.73
Overall Accuracy,0.75

